id,fo4,vr,status,name
4020,0x140f414f0,0x140fbea00,2,FUN_140f414f0
4037,0x140c6fa90,0x140cb6710,4,FUN_140c6fa90
4042,0x140e2c100,0x140e803d0,4,FUN_140e2c100
4053,0x1421b2940,0x14223ca50,4,FUN_1421b2940
4083,0x142d85c80,0x142dc6b08,2,s__142d85c80
4086,0x14671e970,0x146875228,2,DAT_14671e970
4161,0x141a8bf20,0x141b0e890,4,FUN_141a8bf20
4177,0x146594a04,0x1465f5c04,2,DAT_146594a04
4181,0x142e126d0,0x142e558f0,2,s_stream_error_142e126d0
4211,0x145a01100,0x145a62340,2,DAT_145a01100
4218,0x142c9c588,0x142cd1a78,2,s_---_Quest_state_----------------_142c9c588
4219,0x1413d3670,0x1414587c0,4,FUN_1413d3670
4277,0x14252f6d0,0x1425b97a0,4,FUN_14252f6d0
4290,0x1426ebd40,0x1426ba430,2,FUN_1426ebd40
4306,0x14273f680,0x14270dd70,4,FUN_14273f680
4310,0x14374d0c0,0x143775970,2,DAT_14374d0c0
4351,0x1421efb00,0x142279c10,4,FUN_1421efb00
4372,0x1408c5e00,0x1408b8b00,4,FUN_1408c5e00
4419,0x143725478,0x14374d690,2,DAT_143725478
4427,0x142db5a28,0x142df7328,2,PTR_FUN_142db5a28
4468,0x142da8610,0x142de9ed0,2,s_Cannot_request_LOS_to_a_None_obj_142da8610
4471,0x141750400,0x1417d2ea0,2,FUN_141750400
4513,0x1458e29a8,0x1459444d8,2,DAT_1458e29a8
4520,0x141b70360,0x141bef770,2,FUN_141b70360
4550,0x1458d5560,0x145937640,2,DAT_1458d5560
4560,0x142de1720,0x142e23140,2,s_Internal_error_142de1720
4588,0x142c17c08,0x142c4cc30,2,PTR_system_142c17c08
4616,0x142e27c48,0x142e6b6f8,2,PTR_FUN_142e27c48
4665,0x143729528,0x143751760,2,DAT_143729528
4699,0x14371c110,0x143744328,2,DAT_14371c110
4726,0x142c972d0,0x142ccc640,2,s_IsInRobotWorkbench_>>_%0.2f_142c972d0
4735,0x145c0be48,0x145c64758,2,DAT_145c0be48
4753,0x142e46528,0x142e991e8,2,PTR_FUN_142e46528
4762,0x1405c33f0,0x1405adea0,4,FUN_1405c33f0
4816,0x14022fed0,0x14023ffa0,2,FUN_14022fed0
4818,0x140f186a0,0x140f95ce0,2,FUN_140f186a0
4834,0x142dcafa0,0x142e0cab0,2,DAT_142dcafa0
4835,0x14229eee0,0x142328ff0,4,FUN_14229eee0
4856,0x1427d4230,0x1427acdb0,4,FUN_1427d4230
4860,0x1424aee90,0x142538df0,4,FUN_1424aee90
4892,0x141704c20,0x141785620,4,FUN_141704c20
4902,0x1420c8040,0x142151ea0,2,FUN_1420c8040
4903,0x145a60c50,0x145ac1a70,2,DAT_145a60c50
4914,0x14110de20,0x14118fbb0,4,FUN_14110de20
4916,0x140de8a80,0x140e39a90,4,FUN_140de8a80
4924,0x140153ae0,0x14015a710,4,FUN_140153ae0
4925,0x141fb2c50,0x14203b620,4,FUN_141fb2c50
4934,0x143712da8,0x14373a648,2,DAT_143712da8
4955,0x142eab330,0x142ef15b0,2,DAT_142eab330
4969,0x1418a6a60,0x141928d10,4,FUN_1418a6a60
4990,0x140783b10,0x140771de0,2,FUN_140783b10
5011,0x14167c280,0x141704090,4,FUN_14167c280
5020,0x14203f6a0,0x1420c8070,4,FUN_14203f6a0
5054,0x142d1a9b8,0x142d506b0,2,PTR_FUN_142d1a9b8
5085,0x1406a7830,0x140695a30,4,FUN_1406a7830
5088,0x142d0d5a0,0x142d41fb8,2,s_Reload_Selector_142d0d5a0
5182,0x1416ee4a0,0x14176edd0,2,FUN_1416ee4a0
5185,0x142c92018,0x142cc7378,2,PTR_LAB_142c92018
5211,0x140e25c40,0x140e79f10,4,FUN_140e25c40
